เอา	7
ป็น	0
ราด	1
ห้่น	1
เรือ	1
ตัดหัว	0
ไก่	12
ทั้ง	0
ทันที	0
ร้าน	1
ใน	1
และ	4
อ่าน	1
ให้	1
ฉันชอบอาหารไทย	0
หม้	0
เอาเครื่องไนออก	0
เข้าใจ	0
ข้าว	3
ตา	3
ดเวิร์ด	0
ปลูก	0
ฟปั่น	0
ตาลาดสด	1
กระเพรา	1
เจมส์	3
คุณ	0
วันที่	0
ฉัน	4
มะม่วง	0
เวลา	1
หนังสือ	1
ไป	2
ยมือ	0
ข้าวเหนียวมะม่วงเป็นของโปรดของฉัน	0
ไฟ	1
างส่ว	0
ปั่น	1
ผม	13
เครื่อง	1
ดื่ม	1
เจมส์เ	0
ผลไม้	1
จะอบ	0
ชอบกะเพราไก่และข้าวมันไก่	0
ไม่	1
มือ	0
ของโปรด	0
บิดา	1
ว่ายน้ำ	1
ซื้	1
พูด	0
เหนียว	1
จะ	0
คน	1
สาว	1
เอ็ดเวิร์ด	2
ชาย	2
บกิน	0
ชอบอาหารไทย	0
ไทย	2
ไอศสกรีม	0
มี	2
น้อง	1
กาแฟ	3
ของ	5
ปี	4
ไก่ย่าง	0
ย่าง	1
อามีตา	0
ตัด	0
อา	0
หัว	0
ตัดขา	0
กา	1
ชอ	0
มานี	0
ไทยบ	0
ด้วย	0
มา	1
พระองค์ไป	0
ไน	1
คนไทยบางส่วนยังปลูกข้าวด้วยมือ	0
กะเพรา	2
ร้อน	0
ข้าวเหนียวมะม่วงเป็นของโปรดของ	0
ใช้รถแทรกเตอร์ในการเก็บเกี่ยวข้าว	0
ซื้อ	2
หนึ่ง	6
แล้วติดตาม	0
หยุด	1
ผ้ด	1
พี่	2
นีมี	0
คนไทย	0
กาแ	0
อากาศ	0
อบ	0
ขอโทษ	0
ไขดาว	1
ข้าวมัน	2
ป	0
กระพรา	0
สองก็ละ	0
ไอศครีม	1
คาร่า	0
นยัง	0
ไม่เป็นไร	0
ดียว	6
ภรรยา	1
ได้ ไหม	1
ชอบ	11
ไหม้	0
ออก	1
เป็น	4
กามีตา	0
อาหาร	1
อดอกไม้	1
